,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
386,2021-12-30,57,27,1839588.0,-19730.0,1859318.0,1603900.0
387,2021-12-30,29,27,1667185.0,26165.0,1641020.0,1422593.0
388,2021-12-30,49,38,211895.0,6451.0,205444.0,177668.0
389,2021-12-30,48,38,266038.0,32682.0,233356.0,208336.0
390,2021-12-30,55,39,295225.0,125410.0,169815.0,135360.0
391,2021-12-30,58,39,1084507.0,433496.0,651011.0,529646.0
392,2021-12-30,33,30,139914.0,139914.0,0.0,0.0
393,2021-12-30,9,20,543686.0,35595.0,508091.0,435408.0
394,2021-12-30,49,25,292464.0,292464.0,0.0,0.0
395,2021-12-30,37,25,332201.0,332201.0,0.0,0.0
396,2021-12-30,47,29,,,287.0,212.0
397,2021-12-30,12,29,,,28.0,13.0
398,2021-12-30,21,28,250220.0,56422.0,193798.0,154011.0
399,2021-12-30,20,28,2340.0,623.0,1717.0,1453.0
400,2021-12-30,46,12,85391.0,66222.0,19169.0,12197.0
401,2021-12-30,47,12,642869.0,488343.0,154526.0,95349.0
402,2021-12-30,21,10,114689.0,43987.0,70702.0,54139.0
403,2021-12-30,58,10,430869.0,208233.0,222636.0,173411.0
404,2021-12-30,27,3,2608051.0,677438.0,1930613.0,1727820.0
405,2021-12-30,56,3,951374.0,414337.0,537037.0,420466.0
406,2021-12-30,16,6,2029071.0,-125346.0,2154417.0,1842374.0
407,2021-12-30,35,6,213916.0,-8945.0,222861.0,196883.0
408,2021-12-30,30,15,40366.0,30547.0,9819.0,6143.0
409,2021-12-30,15,15,144791.0,113083.0,31708.0,22679.0
410,2021-12-30,32,13,,,29593.0,18639.0
411,2021-12-30,60,13,,,21777.0,10449.0
412,2021-12-30,51,2,181544.0,9896.0,171648.0,158253.0
413,2021-12-30,43,2,159772.0,-4386.0,164158.0,146403.0
414,2021-12-30,14,16,20572562.0,3242533.0,17330029.0,15238171.0
415,2021-12-30,47,16,431059.0,97412.0,333647.0,299384.0
416,2021-12-30,26,8,79028.0,-6733.0,85761.0,73632.0
417,2021-12-30,13,8,365024.0,33742.0,331282.0,305563.0
418,2021-12-30,23,41,34752.0,14386.0,20366.0,18104.0
419,2021-12-30,27,41,788805.0,178385.0,610420.0,558199.0
420,2021-12-30,43,21,643313.0,21296.0,622017.0,563517.0
421,2021-12-30,54,21,345314.0,7038.0,338276.0,310277.0
422,2021-12-30,49,4,87755.0,87755.0,0.0,0.0
